Place Name,CSOED,PD,LUX
"099 Crumlin B, Dublin City",02099,4002.2,126.175730472
"100 Crumlin C, Dublin City",02100,4737.4,151.985411704
"101 Crumlin D, Dublin City",02101,6981,230.74847048
"102 Crumlin E, Dublin City",02102,7407.8,245.731566168
"103 Crumlin F, Dublin City",02103,7480.9,248.297789914
"104 Decies, Dublin City",02104,8450.2,282.325706152
"105 Drumfinn, Dublin City",02105,4358.9,138.697919394
"106 Inchicore A, Dublin City",02106,2421.8,70.694745408
"107 Inchicore B, Dublin City",02107,2782.1,83.343314706
"108 Kilmainham A, Dublin City",02108,10013.8,337.216916128
"109 Kilmainham B, Dublin City",02109,3133.6,95.682954196
"110 Kilmainham C, Dublin City",02110,9014.9,302.149872354
"111 Kimmage A, Dublin City",02111,7094.3,234.725941758
"112 Kimmage B, Dublin City",02112,8320,277.75494922
"113 Kimmage C, Dublin City",02113,3265.2,100.302859052
"114 Kimmage D, Dublin City",02114,5864.2,191.542469392
"115 Kimmage E, Dublin City",02115,5168.6,167.122972296
"116 Kylemore, Dublin City",02116,4635.3,148.401123818
"117 Mansion House A, Dublin City",02117,7436,246.72154578
"118 Mansion House B, Dublin City",02118,2050.3,57.652992718
"119 Merchants Quay A, Dublin City",02119,15134.5,516.98246929
"120 Merchants Quay B, Dublin City",02120,16433.5,562.58472163
"121 Merchants Quay C, Dublin City",02121,10771.9,363.830516974
"122 Merchants Quay D, Dublin City",02122,9905.6,333.418483716
"123 Merchants Quay E, Dublin City",02123,11195.6,378.704785116
"124 Merchants Quay F, Dublin City",02124,7327.1,242.898539406
"125 Pembroke East A, Dublin City",02125,2405.6,70.126033716
"126 Pembroke East B, Dublin City",02126,5652.3,184.103580038
"127 Pembroke East C, Dublin City",02127,4471.2,142.640285012
"128 Pembroke East D, Dublin City",02128,2865.6,86.274637316
"129 Pembroke East E, Dublin City",02129,3301.3,101.570173378
"130 Pembroke West A, Dublin City",02130,8011.6,266.928363676
"131 Pembroke West B, Dublin City",02131,4156.4,131.589023244
"132 Pembroke West C, Dublin City",02132,7281,241.28016848
"133 Rathfarnham, Dublin City",02133,3846,120.69222638
"134 Rathmines East A, Dublin City",02134,6989.8,231.057400288
"135 Rathmines East B, Dublin City",02135,4876.9,156.882651274
"136 Rathmines East C, Dublin City",02136,4563.3,145.873516298
"137 Rathmines East D, Dublin City",02137,7673.5,255.05914003
"138 Rathmines West A, Dublin City",02138,8371.3,279.555869578
"139 Rathmines West B, Dublin City",02139,11112.6,375.791015336
"140 Rathmines West C, Dublin City",02140,6366.8,209.186574108
"141 Rathmines West D, Dublin City",02141,8330.3,278.116537518
"142 Rathmines West E, Dublin City",02142,7477.1,248.164388406
"143 Rathmines West F, Dublin City",02143,6580.4,216.685143084
"144 Royal Exchange A, Dublin City",02144,10272.1,346.284708106
"145 Royal Exchange B, Dublin City",02145,9406,315.87969598
"146 St. Kevin's, Dublin City",02146,8292.4,276.786033004
"147 South Dock, Dublin City",02147,7929.8,264.056720688
"148 Terenure A, Dublin City",02148,6918.3,228.547345598
"149 Terenure B, Dublin City",02149,6522,214.63497254
"150 Terenure C, Dublin City",02150,2658.8,79.014786828
"151 Terenure D, Dublin City",02151,1775.2,47.995425652
"152 Ushers A, Dublin City",02152,5693.3,185.542912098
"153 Ushers B, Dublin City",02153,5153.4,166.589366264
"154 Ushers C, Dublin City",02154,10000,336.73245802
"155 Ushers D, Dublin City",02155,14833.3,506.408644498
"156 Ushers E, Dublin City",02156,8162.5,272.22580777
"157 Ushers F, Dublin City",02157,7693.3,255.754232098
"158 Walkinstown A, Dublin City",02158,2809.8,84.315741488
"159 Walkinstown B, Dublin City",02159,5474.7,177.868814822
"160 Walkinstown C, Dublin City",02160,4787.1,153.730163006
"161 Wood Quay A, Dublin City",02161,15224.1,520.127936426
"162 Wood Quay B, Dublin City",02162,11606.5,393.12970081
"001 Ballinascorney, South Dublin",03001,38.3,-12.979595202
"002 Ballyboden, South Dublin",03002,4095.7,129.458109682
"003 Bohernabreena, South Dublin",03003,103.6,-10.687195604
"004 Clondalkin-Ballymount, South Dublin",03004,657,8.74027664
"005 Clondalkin-Cappaghmore, South Dublin",03005,1270.7,30.284620182
"006 Clondalkin-Dunawley, South Dublin",03006,2418.9,70.592938994
"007 Clondalkin-Monastery, South Dublin",03007,2906.7,87.717479942
"008 Clondalkin-Moorfield, South Dublin",03008,2873.7,86.558993162
"009 Clondalkin-Rowlagh, South Dublin",03009,5623.9,183.106579294
"010 Clondalkin Village, South Dublin",03010,1555.7,40.289733282
"011 Edmondstown, South Dublin",03011,1361.7,33.479235242
"012 Firhouse-Ballycullen, South Dublin",03012,2897.4,87.390997304
"013 Firhouse-Knocklyon, South Dublin",03013,3146.1,96.121774946
"014 Firhouse Village, South Dublin",03014,5080.4,164.026653084
"015 Lucan-Esker, South Dublin",03015,5028.9,162.218711594
"016 Lucan Heights, South Dublin",03016,1471.2,37.323305012
"017 Lucan-St. Helen's, South Dublin",03017,1090.6,23.962090816
"018 Newcastle, South Dublin",03018,133.3,-9.644557502
"019 Palmerston Village, South Dublin",03019,3104.1,94.647337226
"020 Palmerston West, South Dublin",03020,1964.3,54.633905958
"021 Rathcoole, South Dublin",03021,324.7,-2.925334178
"022 Rathfarnham-Ballyroan, South Dublin",03022,3854.9,121.004666754
"023 Rathfarnham-Butterfield, South Dublin",03023,4337.6,137.950168836
"024 Rathfarnham-Hermitage, South Dublin",03024,5887.2,192.349899572
"025 Rathfarnham-St. Enda's, South Dublin",03025,3624.3,112.909301558
"026 Rathfarnham Village, South Dublin",03026,4063.4,128.324196864
"027 Saggart, South Dublin",03027,351.6,-1.980991924
"028 Tallaght-Avonbeg, South Dublin",03028,4260.5,135.24352245
"029 Tallaght-Belgard, South Dublin",03029,619.2,7.413282692
"030 Tallaght-Fettercairn, South Dublin",03030,1841.2,50.312399212
"031 Tallaght-Glenview, South Dublin",03031,4807.5,154.44631847
"032 Tallaght-Jobstown, South Dublin",03032,6547.7,215.537188002
"033 Tallaght-Killinardan, South Dublin",03033,5337.7,173.059339402
"034 Tallaght-Kilnamanagh, South Dublin",03034,2055.6,57.839052716
"035 Tallaght-Kiltipper, South Dublin",03035,5136.2,165.985548912
"036 Tallaght-Kingswood, South Dublin",03036,2357.8,68.447983168
"037 Tallaght-Millbrook, South Dublin",03037,5324.6,172.599455256
"038 Tallaght-Oldbawn, South Dublin",03038,3146.7,96.142838342
"039 Tallaght-Springfield, South Dublin",03039,5253.9,170.117485094
"040 Tallaght-Tymon, South Dublin",03040,2501.7,73.499687642
"041 Templeogue-Cypress, South Dublin",03041,3776.9,118.266425274
"042 Templeogue-Kimmage Manor, South Dublin",03042,4467.1,142.496351806
"043 Templeogue-Limekiln, South Dublin",03043,3213.1,98.473854166
"044 Templeogue-Orwell, South Dublin",03044,4376.6,139.319289576
"045 Templeogue-Osprey, South Dublin",03045,1639.9,43.245629854
"046 Templeogue Village, South Dublin",03046,4102.7,129.703849302
"047 Terenure-Cherryfield, South Dublin",03047,4740.2,152.083707552
"048 Terenure-Greentrees, South Dublin",03048,4330,137.68336582
"049 Terenure-St. James, South Dublin",03049,3962.6,124.785546336
"001 Airport, Fingal",04001,580.6,6.058204216
"002 Balbriggan Rural, Fingal",04002,645,8.31900872
"003 Balbriggan Urban, Fingal",04003,3693.7,115.345634362
"004 Baldoyle, Fingal",04004,2820.4,84.687861484
"005 Balgriffin, Fingal",04005,302.4,-3.708190396
"006 Ballyboghil, Fingal",04006,60,-12.21780238
"007 Balscadden, Fingal",04007,44.5,-12.76194011
"008 Blanchardstown-Abbotstown, Fingal",04008,871.3,16.263419578
"009 Blanchardstown-Blakestown, Fingal",04009,4967.5,160.06322407
"010 Blanchardstown-Coolmine, Fingal",04010,4122.3,130.391920238
"011 Blanchardstown-Corduff, Fingal",04011,2690.8,80.138167948
"012 Blanchardstown-Delwood, Fingal",04012,5196.6,168.105930776
"013 Blanchardstown-Mulhuddart, Fingal",04013,2265.1,65.193688486
"014 Blanchardstown-Roselawn, Fingal",04014,3662.7,114.257358902
"015 Blanchardstown-Tyrrelstown, Fingal",04015,839.8,15.157591288
"016 Castleknock-Knockmaroon, Fingal",04016,2758.3,82.507799998
"017 Castleknock-Park, Fingal",04017,2220.7,63.634997182
"018 Clonmethan, Fingal",04018,50.1,-12.565348414
"019 Donabate, Fingal",04019,388.6,-0.682082503999999
"020 Dubber, Fingal",04020,412,0.139389940000001
"021 Garristown, Fingal",04021,46,-12.70928162
"022 Hollywood, Fingal",04022,46.8,-12.681197092
"023 Holmpatrick, Fingal",04023,131.1,-9.721789954
"024 Howth, Fingal",04024,765.4,12.545730184
"025 Kilsallaghan, Fingal",04025,82.2,-11.438456728
"026 Kinsaley, Fingal",04026,863.3,15.982574298
"027 Lucan North, Fingal",04027,154.6,-8.896806944
"028 Lusk, Fingal",04028,227.6,-6.334093764
"029 Malahide East, Fingal",04029,2276.5,65.59389301
"030 Malahide West, Fingal",04030,2394.4,69.732850324
"031 Portmarnock North, Fingal",04031,3940,123.99215842
"032 Portmarnock South, Fingal",04032,681.4,9.596854744
"033 Rush, Fingal",04033,1475.1,37.460217086
"034 Skerries, Fingal",04034,3685.7,115.064789082
"035 Sutton, Fingal",04035,3941.1,124.030774646
"036 Swords-Forrest, Fingal",04036,2292.9,66.169625834
"037 Swords-Glasmore, Fingal",04037,1728.1,46.341949066
"038 Swords-Lissenhall, Fingal",04038,564.1,5.478960826
"039 Swords-Seatown, Fingal",04039,1745.9,46.966829814
"040 Swords Village, Fingal",04040,2931.8,88.598632008
"041 The Ward, Fingal",04041,393.5,-0.51006477
"042 Turnapin, Fingal",04042,1809,49.18199696
"001 Ballinteer-Broadford, D�n Laoghaire-Rathdown",05001,4384.2,139.586092592
"002 Ballinteer-Ludford, D�n Laoghaire-Rathdown",05002,4408.1,140.425117866
"003 Ballinteer-Marley, D�n Laoghaire-Rathdown",05003,1737.9,46.685984534
"004 Ballinteer-Meadowbroads, D�n Laoghaire-Rathdown",05004,4795.7,154.032071682
"005 Ballinteer-Meadowmount, D�n Laoghaire-Rathdown",05005,4741.9,152.143387174
"006 Ballinteer-Woodpark, D�n Laoghaire-Rathdown",05006,5689.7,185.416531722
"007 Ballybrack, D�n Laoghaire-Rathdown",05007,4865.5,156.48244675
"008 Blackrock-Booterstown, D�n Laoghaire-Rathdown",05008,4391.9,139.856406174
"009 Blackrock-Carysfort, D�n Laoghaire-Rathdown",05009,4844.3,155.738206758
"010 Blackrock-Central, D�n Laoghaire-Rathdown",05010,3650.9,113.843112114
"011 Blackrock-Glenomena, D�n Laoghaire-Rathdown",05011,4605.3,147.347954018
"012 Blackrock-Monkstown, D�n Laoghaire-Rathdown",05012,4426.6,141.074572576
"013 Blackrock-Newpark, D�n Laoghaire-Rathdown",05013,4605.6,147.358485716
"014 Blackrock-Seapoint, D�n Laoghaire-Rathdown",05014,3978.6,125.347236896
"015 Blackrock-Stradbrook, D�n Laoghaire-Rathdown",05015,4449,141.86093936
"016 Blackrock-Templehill, D�n Laoghaire-Rathdown",05016,3384.2,104.480432592
"017 Blackrock-Williamstown, D�n Laoghaire-Rathdown",05017,2835,85.20040412
"018 Cabinteely-Granitefield, D�n Laoghaire-Rathdown",05018,4739.8,152.069665288
"019 Cabinteely-Kilbogget, D�n Laoghaire-Rathdown",05019,2538,74.7740231
"020 Cabinteely-Loughlinstown, D�n Laoghaire-Rathdown",05020,680.6,9.568770216
"021 Cabinteely-Pottery, D�n Laoghaire-Rathdown",05021,3121.7,95.265196842
"022 Churchtown-Castle, D�n Laoghaire-Rathdown",05022,1741,46.79481208
"023 Churchtown-Landscape, D�n Laoghaire-Rathdown",05023,3446.1,106.653472946
"024 Churchtown-Nutgrove, D�n Laoghaire-Rathdown",05024,4137.6,130.929036836
"025 Churchtown-Orwell, D�n Laoghaire-Rathdown",05025,2062,58.06372894
"026 Churchtown-Woodlawn, D�n Laoghaire-Rathdown",05026,3587.5,111.61741327
"027 Clonskeagh-Belfield, D�n Laoghaire-Rathdown",05027,1645.4,43.438710984
"028 Clonskeagh-Farranboley, D�n Laoghaire-Rathdown",05028,4529.8,144.697476688
"029 Clonskeagh-Milltown, D�n Laoghaire-Rathdown",05029,3972.5,125.13309237
"030 Clonskeagh-Roebuck, D�n Laoghaire-Rathdown",05030,3602.7,112.151019302
"031 Clonskeagh-Windy Arbour, D�n Laoghaire-Rathdown",05031,3839.9,120.478081854
"032 Dalkey-Avondale, D�n Laoghaire-Rathdown",05032,2592.3,76.680260438
"033 Dalkey-Bullock, D�n Laoghaire-Rathdown",05033,3077.5,93.71352667
"034 Dalkey-Coliemore, D�n Laoghaire-Rathdown",05034,2259,64.97954396
"035 Dalkey Hill, D�n Laoghaire-Rathdown",05035,1333.1,32.475213366
"036 Dalkey Upper, D�n Laoghaire-Rathdown",05036,3625.8,112.961960048
"037 Dundrum-Balally, D�n Laoghaire-Rathdown",05037,3202.8,98.112265868
"038 Dundrum-Kilmacud, D�n Laoghaire-Rathdown",05038,3581.7,111.413800442
"039 Dundrum-Sandyford, D�n Laoghaire-Rathdown",05039,3121.2,95.247644012
"040 Dundrum-Sweetmount, D�n Laoghaire-Rathdown",05040,3885.2,122.068368252
"041 Dundrum-Taney, D�n Laoghaire-Rathdown",05041,4355.1,138.564517886
"042 D�n Laoghaire-East Central, D�n Laoghaire-Rathdown",05042,5512.7,179.202829902
"043 D�n Laoghaire-Glasthule, D�n Laoghaire-Rathdown",05043,3800.8,119.105450548
"044 D�n Laoghaire-Glenageary, D�n Laoghaire-Rathdown",05044,3265.5,100.31339075
"045 D�n Laoghaire-Monkstown Farm, D�n Laoghaire-Rathdown",05045,6519.8,214.557740088
"046 D�n Laoghaire-Mount Town, D�n Laoghaire-Rathdown",05046,5299.1,171.704260926
"047 D�n Laoghaire-Sallynoggin East, D�n Laoghaire-Rathdown",05047,3869.3,121.510188258
"048 D�n Laoghaire-Sallynoggin South, D�n Laoghaire-Rathdown",05048,3517.7,109.167038202
"049 D�n Laoghaire-Sallynoggin West, D�n Laoghaire-Rathdown",05049,4707,150.91819964
"050 D�n Laoghaire-Sandycove, D�n Laoghaire-Rathdown",05050,3787.7,118.645566402
"051 D�n Laoghaire-Salthill, D�n Laoghaire-Rathdown",05051,3049.6,92.734078756
"052 D�n Laoghaire-West Central, D�n Laoghaire-Rathdown",05052,5669.7,184.714418522
"053 Foxrock-Beechpark, D�n Laoghaire-Rathdown",05053,3124.5,95.36349269
"054 Foxrock-Carrickmines, D�n Laoghaire-Rathdown",05054,2110.1,59.752311186
"055 Foxrock-Deans Grange, D�n Laoghaire-Rathdown",05055,2424.9,70.803572954
"056 Foxrock-Torquay, D�n Laoghaire-Rathdown",05056,1504.4,38.488812924
"057 Glencullen, D�n Laoghaire-Rathdown",05057,585.7,6.237243082
"058 Killiney North, D�n Laoghaire-Rathdown",05058,1508.9,38.646788394
"059 Killiney South, D�n Laoghaire-Rathdown",05059,4094.1,129.401940626
"060 Shankill-Rathmichael, D�n Laoghaire-Rathdown",05060,379,-1.01909684
"061 Shankill-Rathsallagh, D�n Laoghaire-Rathdown",05061,3300.2,101.531557152
"062 Shankill-Shanganagh, D�n Laoghaire-Rathdown",05062,1846.7,50.505480342
"063 Stillorgan-Deerpark, D�n Laoghaire-Rathdown",05063,2894.9,87.303233154
"064 Stillorgan-Kilmacud, D�n Laoghaire-Rathdown",05064,4326.7,137.567517142
"065 Stillorgan-Leopardstown, D�n Laoghaire-Rathdown",05065,4769.8,153.122835088
"066 Stillorgan-Merville, D�n Laoghaire-Rathdown",05066,2830.6,85.045939216
"067 Stillorgan-Mount Merrion, D�n Laoghaire-Rathdown",05067,2715.5,81.00527775
"068 Stillorgan-Priory, D�n Laoghaire-Rathdown",05068,3956.1,124.557359546
"069 Tibradden, D�n Laoghaire-Rathdown",05069,83.3,-11.399840502
"001 Athy East Urban, Co. Kildare",06001,1843.2,50.382610532
"002 Athy West Urban, Co. Kildare",06002,1833.6,50.045596196
"003 Naas Urban, Co. Kildare",06003,1197.4,27.711375304
"004 Athy Rural (Part Rural), Co. Kildare",06004,113.3,-10.346670702
"005 Ballaghmoon, Co. Kildare",06005,18.8,-13.664155572
"006 Ballitore, Co. Kildare",06006,89.3,-11.189206542
"007 Ballybrackan, Co. Kildare",06007,50.7,-12.544285018
"008 Ballyshannon, Co. Kildare",06008,68.8,-11.908872572
"009 Belan, Co. Kildare",06009,24.8,-13.453521612
"010 Bert, Co. Kildare",06010,15.5,-13.78000425
"011 Burtown, Co. Kildare",06011,20.1,-13.618518214
"012 Carrigeen, Co. Kildare",06012,20.8,-13.593944252
"013 Castledermot, Co. Kildare",06013,85.1,-11.336650314
"014 Churchtown, Co. Kildare",06014,28.5,-13.32363067
"015 Dunmanoge, Co. Kildare",06015,33.5,-13.14810237
"016 Fontstown, Co. Kildare",06016,22.5,-13.53426463
"017 Graney, Co. Kildare",06017,29.2,-13.299056708
"018 Grangemellon, Co. Kildare",06018,34.3,-13.120017842
