 Electoral_Area,PD
"049 D�n Laoghaire-Sallynoggin West, D�n Laoghaire-Rathdown",4707
"050 D�n Laoghaire-Sandycove, D�n Laoghaire-Rathdown",3787.7
"051 D�n Laoghaire-Salthill, D�n Laoghaire-Rathdown",3049.6
"052 D�n Laoghaire-West Central, D�n Laoghaire-Rathdown",5669.7
"053 Foxrock-Beechpark, D�n Laoghaire-Rathdown",3124.5
"054 Foxrock-Carrickmines, D�n Laoghaire-Rathdown",2110.1
"055 Foxrock-Deans Grange, D�n Laoghaire-Rathdown",2424.9
"056 Foxrock-Torquay, D�n Laoghaire-Rathdown",1504.4
"057 Glencullen, D�n Laoghaire-Rathdown",585.7
"058 Killiney North, D�n Laoghaire-Rathdown",1508.9
"059 Killiney South, D�n Laoghaire-Rathdown",4094.1
"060 Shankill-Rathmichael, D�n Laoghaire-Rathdown",379
"061 Shankill-Rathsallagh, D�n Laoghaire-Rathdown",3300.2
"062 Shankill-Shanganagh, D�n Laoghaire-Rathdown",1846.7
"063 Stillorgan-Deerpark, D�n Laoghaire-Rathdown",2894.9
"064 Stillorgan-Kilmacud, D�n Laoghaire-Rathdown",4326.7
"065 Stillorgan-Leopardstown, D�n Laoghaire-Rathdown",4769.8
"066 Stillorgan-Merville, D�n Laoghaire-Rathdown",2830.6
"067 Stillorgan-Mount Merrion, D�n Laoghaire-Rathdown",2715.5
"068 Stillorgan-Priory, D�n Laoghaire-Rathdown",3956.1
"069 Tibradden, D�n Laoghaire-Rathdown",83.3
"001 Athy East Urban, Co. Kildare",1843.2
"002 Athy West Urban, Co. Kildare",1833.6
"003 Naas Urban, Co. Kildare",1197.4
"004 Athy Rural (Part Rural), Co. Kildare",113.3
"005 Ballaghmoon, Co. Kildare",18.8
"006 Ballitore, Co. Kildare",89.3
"007 Ballybrackan, Co. Kildare",50.7
"008 Ballyshannon, Co. Kildare",68.8
"009 Belan, Co. Kildare",24.8
"010 Bert, Co. Kildare",15.5
"011 Burtown, Co. Kildare",20.1
"012 Carrigeen, Co. Kildare",20.8
"013 Castledermot, Co. Kildare",85.1
"014 Churchtown, Co. Kildare",28.5
"015 Dunmanoge, Co. Kildare",33.5
"016 Fontstown, Co. Kildare",22.5
"017 Graney, Co. Kildare",29.2
"018 Grangemellon, Co. Kildare",34.3
"019 Harristown, Co. Kildare",23.2
"020 Inchaquire, Co. Kildare",19
"021 Johnstown, Co. Kildare",19.9
"022 Kilberry, Co. Kildare",38.2
"023 Kildangan, Co. Kildare",49.5
"024 Kilkea, Co. Kildare",21.6
"025 Kilrush, Co. Kildare",37.9
"026 Lackagh, Co. Kildare",34
"027 Monasterevin, Co. Kildare",182.3
"028 Moone, Co. Kildare",27.9
"029 Narraghmore, Co. Kildare",49.1
"030 Nurney, Co. Kildare",86.8
"031 Quinsborough, Co. Kildare",11.3
"032 Skerries, Co. Kildare",44.3
"033 Balraheen, Co. Kildare",72.7
"034 Celbridge, Co. Kildare",902.1
"035 Cloncurry, Co. Kildare",46.5
"036 Donadea, Co. Kildare",39
"037 Donaghcumper, Co. Kildare",264.1
"038 Kilcock, Co. Kildare",428.3
"039 Leixlip, Co. Kildare",1398
"040 Maynooth, Co. Kildare",481.4
"041 Straffan, Co. Kildare",79.1
"042 Ballynadrumny, Co. Kildare",29.7
"043 Cadamstown, Co. Kildare",70.2
"044 Carbury, Co. Kildare",43.2
"045 Carrick, Co. Kildare",18.9
"046 Cloncurry, Co. Kildare",25.8
"047 Drehid, Co. Kildare",17.5
"048 Dunfierth, Co. Kildare",33.1
"049 Killinthomas, Co. Kildare",22.4
"050 Kilpatrick, Co. Kildare",43.2
"051 Kilrainy, Co. Kildare",35.2
"052 Lullymore, Co. Kildare",8.8
"053 Rathangan, Co. Kildare",175.7
"054 Thomastown, Co. Kildare",46.8
"055 Windmill Cross, Co. Kildare",85.4
"056 Ballymore Eustace, Co. Kildare",93
"057 Ballysax East, Co. Kildare",94.2
"058 Ballysax West, Co. Kildare",73.8
"059 Bodenstown, Co. Kildare",179.3
"060 Carnalway, Co. Kildare",66
"061 Carragh, Co. Kildare",142.9
"062 Clane, Co. Kildare",436
"063 Donore, Co. Kildare",39.4
"064 Downings, Co. Kildare",185.9
"065 Droichead Nua (Newbridge) Rural, Co. Kildare",143.7
"066 Droichead Nua (Newbridge) Urban, Co. Kildare",2817.5
"067 Dunmurry, Co. Kildare",29.4
"068 Feighcullen, Co. Kildare",56.4
"069 Gilltown, Co. Kildare",29.6
"070 Kilcullen, Co. Kildare",197.3
"071 Kildare, Co. Kildare",267.1
"072 Kill, Co. Kildare",245.7
"073 Killashee, Co. Kildare",19.2
"074 Kilmeage North, Co. Kildare",102.3
"075 Kilmeage South, Co. Kildare",122
"076 Kilteel, Co. Kildare",32.8
"077 Ladytown, Co. Kildare",48.4
"078 Morristownbiller, Co. Kildare",873.7
"079 Naas Rural, Co. Kildare",206
"080 Newtown, Co. Kildare",45.4
"081 Oldconnell, Co. Kildare",56.3
"082 Oughterard, Co. Kildare",46.9
"083 Pollardstown, Co. Kildare",29.2
"084 Rathernan, Co. Kildare",34.8
"085 Rathmore, Co. Kildare",47.3
"086 Robertstown, Co. Kildare",144.7
"087 Timahoe North, Co. Kildare",32.6
"088 Timahoe South, Co. Kildare",50.4
"089 Usk, Co. Kildare",28.1
"001 Kilkenny No. 1 Urban, Co. Kilkenny",3186.6
"002 Kilkenny No. 2 Urban, Co. Kilkenny",2252.4
"003 Burnchurch, Co. Kilkenny",42
"004 Callan Rural, Co. Kilkenny",40.4
"005 Callan Urban, Co. Kilkenny",1192.1
"006 Coolaghmore, Co. Kilkenny",19.1
"007 Dunamaggan, Co. Kilkenny",22.2
"008 Earlstown, Co. Kilkenny",17.6
"009 Kells, Co. Kilkenny",34.4
"010 Killamery, Co. Kilkenny",16.2
"011 Kilmaganny, Co. Kilkenny",22.9
"012 Kilmanagh, Co. Kilkenny",22.3
"013 Mallardstown, Co. Kilkenny",16.8
"014 Scotsborough, Co. Kilkenny",11.3
"015 Tullaghanbrogue, Co. Kilkenny",21.1
"016 Boolyglass, Co. Kilkenny",10.7
"017 Fiddown, Co. Kilkenny",59.1
"018 Muckalee, Co. Kilkenny",14.1
"019 Pilltown, Co. Kilkenny",97.4
"020 Templeorum, Co. Kilkenny",26.1
"021 Tubbrid, Co. Kilkenny",20.4
"022 Tullahought, Co. Kilkenny",14.4
"023 Whitechurch, Co. Kilkenny",24.3
"024 Attanagh, Co. Kilkenny",15.4
"025 Ballyragget, Co. Kilkenny",57.1
"026 Castlecomer, Co. Kilkenny",76.3
"027 Clogh, Co. Kilkenny",35.2
"028 Clogharinka, Co. Kilkenny",16.6
"029 Kilmacar, Co. Kilkenny",19.3
"030 Moneenroe, Co. Kilkenny",39.4
"031 Mothell, Co. Kilkenny",17.3
"032 Muckalee, Co. Kilkenny",28.2
"033 Brownsford, Co. Kilkenny",14.7
"034 Dysartmoon, Co. Kilkenny",25.8
"035 Jerpoint West, Co. Kilkenny",12.1
"036 Listerlin, Co. Kilkenny",23.4
"037 Rosbercon Rural, Co. Kilkenny",63.3
"038 Shanbogh, Co. Kilkenny",30.3
"039 The Rower, Co. Kilkenny",28.6
"040 Ballinamara, Co. Kilkenny",19.7
"041 Ballybeagh, Co. Kilkenny",12.9
"042 Ballycallan, Co. Kilkenny",21
"043 Clara, Co. Kilkenny",30.9
